marital,age,happy,income,health
married,44.0,pretty happy,,good
married,46.0,pretty happy,,excellent
married,46.0,very happy,,good
married,60.0,very happy,,good
married,50.0,pretty happy,,fair
married,37.0,very happy,,good
widowed,76.0,not too happy,,good
married,41.0,pretty happy,,fair
separated,24.0,pretty happy,,good
married,33.0,pretty happy,,poor
married,49.0,very happy,,fair
married,22.0,very happy,,fair
married,67.0,pretty happy,,fair
married,74.0,very happy,,poor
married,37.0,pretty happy,,fair
married,45.0,very happy,,good
married,59.0,pretty happy,,good
married,65.0,pretty happy,,excellent
married,67.0,pretty happy,,fair
married,66.0,not too happy,,fair
married,28.0,pretty happy,,excellent
married,37.0,very happy,,excellent
never married,72.0,not too happy,,excellent
married,22.0,very happy,,excellent
never married,60.0,pretty happy,,fair
married,60.0,pretty happy,,good
married,35.0,pretty happy,,excellent
married,60.0,not too happy,,good
married,79.0,pretty happy,,excellent
married,45.0,not too happy,,good
married,65.0,pretty happy,,good
married,45.0,not too happy,,excellent
married,65.0,pretty happy,,excellent
married,22.0,pretty happy,,good
married,60.0,pretty happy,,poor
married,38.0,pretty happy,,excellent
married,29.0,pretty happy,,excellent
never married,26.0,pretty happy,,good
widowed,81.0,pretty happy,,fair
married,61.0,very happy,,good
married,71.0,very happy,,good
married,26.0,pretty happy,,excellent
married,70.0,pretty happy,,fair
married,34.0,pretty happy,,good
married,48.0,pretty happy,,good
married,23.0,very happy,,excellent
married,60.0,pretty happy,,excellent
divorced,33.0,not too happy,,excellent
married,52.0,not too happy,,fair
married,55.0,pretty happy,,fair
married,21.0,very happy,,good
divorced,26.0,very happy,,excellent
widowed,77.0,pretty happy,,excellent
married,69.0,pretty happy,,poor
divorced,25.0,pretty happy,,excellent
married,43.0,pretty happy,,poor
widowed,77.0,pretty happy,,fair
married,65.0,not too happy,,fair
married,31.0,very happy,,good
married,65.0,very happy,,excellent
separated,58.0,not too happy,,poor
married,63.0,not too happy,,fair
married,74.0,not too happy,,excellent
never married,20.0,pretty happy,,excellent
married,42.0,pretty happy,,good
never married,20.0,pretty happy,,excellent
married,53.0,pretty happy,,excellent
married,40.0,pretty happy,,good
married,53.0,very happy,,good
never married,35.0,pretty happy,,excellent
married,20.0,not too happy,,good
widowed,69.0,pretty happy,,good
married,60.0,pretty happy,,good
married,45.0,not too happy,,good
married,43.0,pretty happy,,fair
married,72.0,not too happy,,excellent
married,28.0,very happy,,excellent
married,35.0,pretty happy,,good
married,43.0,very happy,,excellent
widowed,51.0,not too happy,,good
married,45.0,pretty happy,,good
widowed,65.0,pretty happy,,good
married,48.0,very happy,,good
married,47.0,not too happy,,excellent
married,30.0,pretty happy,,excellent
married,45.0,very happy,,excellent
never married,20.0,very happy,,excellent
never married,29.0,pretty happy,,good
married,54.0,pretty happy,,good
married,22.0,pretty happy,,good
never married,48.0,not too happy,,fair
divorced,32.0,pretty happy,,good
divorced,45.0,not too happy,,poor
married,46.0,not too happy,,fair
widowed,60.0,pretty happy,,poor
married,60.0,pretty happy,,good
married,76.0,pretty happy,,good
married,31.0,not too happy,,good
married,45.0,very happy,,good
never married,20.0,pretty happy,,excellent
married,36.0,pretty happy,,fair
married,56.0,pretty happy,,good
married,22.0,pretty happy,,excellent
married,29.0,pretty happy,,excellent
married,45.0,very happy,,good
married,44.0,pretty happy,,excellent
married,45.0,pretty happy,,good
never married,49.0,pretty happy,,excellent
widowed,82.0,very happy,,excellent
married,33.0,very happy,,excellent
married,43.0,very happy,,excellent
married,38.0,pretty happy,,good
married,51.0,very happy,,good
married,26.0,very happy,,excellent
never married,19.0,very happy,,good
married,33.0,pretty happy,,excellent
married,57.0,very happy,,good
married,46.0,pretty happy,,good
married,46.0,very happy,,excellent
widowed,80.0,pretty happy,,good
married,55.0,pretty happy,,good
married,29.0,pretty happy,,excellent
married,29.0,pretty happy,,good
widowed,82.0,pretty happy,,fair
never married,66.0,pretty happy,,good
married,68.0,pretty happy,,good
married,47.0,pretty happy,,good
married,44.0,pretty happy,,excellent
married,29.0,pretty happy,,excellent
married,53.0,very happy,,excellent
married,49.0,very happy,,fair
divorced,25.0,not too happy,,excellent
married,31.0,very happy,,excellent
married,29.0,very happy,,good
married,21.0,very happy,,excellent
married,25.0,very happy,,good
married,25.0,pretty happy,,good
married,21.0,not too happy,,good
married,27.0,pretty happy,,excellent
married,41.0,pretty happy,,good
married,58.0,pretty happy,,good
married,46.0,very happy,,excellent
married,30.0,pretty happy,,excellent
widowed,81.0,pretty happy,,good
never married,21.0,pretty happy,,fair
married,31.0,pretty happy,,fair
married,49.0,not too happy,,poor
widowed,64.0,not too happy,,poor
widowed,75.0,not too happy,,poor
divorced,30.0,not too happy,,good
never married,19.0,not too happy,,fair
married,59.0,pretty happy,,good
married,71.0,pretty happy,,fair
married,73.0,pretty happy,,poor
never married,19.0,pretty happy,,excellent
married,54.0,not too happy,,good
married,56.0,pretty happy,,good
married,54.0,pretty happy,,fair
married,32.0,pretty happy,,excellent
never married,63.0,pretty happy,,good
widowed,48.0,pretty happy,,good
never married,22.0,not too happy,,excellent
married,70.0,very happy,,good
married,64.0,pretty happy,,good
married,23.0,pretty happy,,fair
married,59.0,pretty happy,,good
married,43.0,not too happy,,fair
married,59.0,very happy,,excellent
divorced,21.0,very happy,,excellent
married,33.0,pretty happy,,good
married,47.0,pretty happy,,excellent
married,40.0,pretty happy,,good
never married,26.0,not too happy,,excellent
married,56.0,very happy,,excellent
married,35.0,pretty happy,,
married,78.0,very happy,,good
widowed,83.0,not too happy,,fair
married,54.0,pretty happy,,good
married,34.0,very happy,,excellent
divorced,33.0,pretty happy,,good
married,28.0,pretty happy,,good
married,70.0,very happy,,fair
divorced,49.0,pretty happy,,good
married,23.0,pretty happy,,good
divorced,47.0,pretty happy,,good
widowed,57.0,pretty happy,,poor
never married,25.0,very happy,,fair
never married,60.0,not too happy,,excellent
married,24.0,pretty happy,,good
married,33.0,pretty happy,,fair
married,25.0,pretty happy,,excellent
never married,21.0,pretty happy,,good
married,43.0,very happy,,excellent
married,53.0,very happy,,good
married,43.0,very happy,,excellent
married,49.0,very happy,,good
married,36.0,very happy,,excellent
married,32.0,pretty happy,,excellent
married,34.0,very happy,,excellent
widowed,78.0,not too happy,,good
married,73.0,very happy,,good
married,73.0,not too happy,,poor
widowed,70.0,very happy,,good
married,27.0,very happy,,good
widowed,82.0,very happy,,good
never married,22.0,pretty happy,,good
married,67.0,very happy,,fair
married,51.0,very happy,,excellent
married,54.0,pretty happy,,good
married,49.0,very happy,,excellent
married,36.0,not too happy,,poor
married,45.0,pretty happy,,fair
married,35.0,very happy,,fair
separated,42.0,very happy,,excellent
married,56.0,not too happy,,fair
married,54.0,pretty happy,,fair
married,52.0,pretty happy,,good
married,30.0,pretty happy,,good
married,38.0,pretty happy,,excellent
married,24.0,pretty happy,,good
never married,42.0,very happy,,excellent
married,45.0,pretty happy,,excellent
married,47.0,pretty happy,,good
married,36.0,pretty happy,,good
married,45.0,pretty happy,,good
married,42.0,pretty happy,,good
married,22.0,very happy,,good
married,31.0,pretty happy,,excellent
married,28.0,very happy,,excellent
married,30.0,pretty happy,,good
married,26.0,pretty happy,,excellent
married,26.0,very happy,,excellent
married,39.0,not too happy,,excellent
never married,21.0,pretty happy,,excellent
never married,19.0,not too happy,,good
widowed,61.0,not too happy,,good
married,65.0,pretty happy,,fair
widowed,74.0,not too happy,,fair
married,61.0,not too happy,,good
married,64.0,,,excellent
never married,24.0,pretty happy,,good
widowed,45.0,pretty happy,,excellent
widowed,27.0,,,excellent
married,32.0,,,excellent
married,48.0,pretty happy,,excellent
married,29.0,very happy,,good
married,29.0,very happy,,excellent
married,23.0,pretty happy,,good
widowed,85.0,not too happy,,good
divorced,32.0,not too happy,,excellent
married,67.0,pretty happy,,fair
married,53.0,very happy,,fair
married,28.0,pretty happy,,good
never married,27.0,pretty happy,,excellent
never married,19.0,pretty happy,,good
married,34.0,pretty happy,,good
married,47.0,very happy,,excellent
divorced,36.0,pretty happy,,excellent
married,38.0,pretty happy,,good
married,55.0,not too happy,,good
married,38.0,pretty happy,,fair
never married,32.0,pretty happy,,good
widowed,76.0,very happy,,good
never married,20.0,pretty happy,,good
married,63.0,very happy,,fair
married,55.0,very happy,,fair
married,48.0,pretty happy,,good
married,56.0,pretty happy,,excellent
married,46.0,very happy,,good
married,65.0,pretty happy,,fair
married,34.0,pretty happy,,excellent
married,74.0,pretty happy,,fair
married,28.0,pretty happy,,fair
married,36.0,pretty happy,,excellent
married,52.0,pretty happy,,good
married,33.0,not too happy,,good
married,64.0,pretty happy,,excellent
married,29.0,very happy,,excellent
married,33.0,pretty happy,,excellent
never married,18.0,pretty happy,,good
widowed,65.0,not too happy,,fair
never married,23.0,not too happy,,good
married,41.0,pretty happy,,fair
separated,49.0,pretty happy,,fair
married,50.0,very happy,,good
married,24.0,not too happy,,good
married,65.0,not too happy,,fair
never married,21.0,not too happy,,good
married,52.0,not too happy,,good
married,71.0,pretty happy,,good
married,79.0,pretty happy,,fair
never married,74.0,pretty happy,,fair
married,74.0,pretty happy,,good
divorced,29.0,pretty happy,,good
married,31.0,pretty happy,,excellent
divorced,35.0,pretty happy,,good
married,53.0,not too happy,,good
married,41.0,pretty happy,,good
married,26.0,not too happy,,excellent
married,51.0,pretty happy,,fair
married,56.0,pretty happy,,good
